FAIL lock
FAIL lock
FAIL matches
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
         136832 function calls (134769 primitive calls) in 70.227 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
       37    0.000    0.000    0.000    0.000 enum.py:301(__setattr__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:436(spec_from_loader)
       30    0.000    0.000    0.000    0.000 sre_compile.py:386(_simple)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:911(exec_module)
        2    0.000    0.000    0.000    0.000 os.py:728(__setitem__)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
      154    0.000    0.000    0.000    0.000 sre_parse.py:165(append)
       39    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
      283    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 core.py:2688(MaskedArray)
       42    0.000    0.000    0.000    0.000 main.py:274(<listcomp>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:120(<listcomp>)
       19    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
      292    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:190(cb)
        1    0.000    0.000    0.000    0.000 pathlib.py:107(_WindowsFlavour)
       98    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 enum.py:453(Enum)
